index,County,Precinct,Registered Voters,Theresa Lyons (I) (Rep)_Election Day Votes,Theresa Lyons (I) (Rep)_Advanced Voting Votes,Theresa Lyons (I) (Rep)_Absentee by Mail Votes,Theresa Lyons (I) (Rep)_Provisional Votes,Theresa Lyons (I) (Rep)_Choice Total,Omassis Mendonca (Dem)_Election Day Votes,Omassis Mendonca (Dem)_Advanced Voting Votes,Omassis Mendonca (Dem)_Absentee by Mail Votes,Omassis Mendonca (Dem)_Provisional Votes,Omassis Mendonca (Dem)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,625,2799,640,4,4068,105,443,236,2,786,4854,
1,Paulding,Crossroads Library,3662,331,1502,430,1,2264,74,388,299,0,761,3025,
2,Paulding,Shelton Elementary,5095,481,1653,439,3,2576,159,748,427,0,1334,3910,
3,Paulding,Russom Elementary,8243,707,2838,1055,5,4605,201,948,793,2,1944,6549,
4,Paulding,Paulding Sr Center,5972,504,1841,436,4,2785,199,842,495,2,1538,4323,
5,Paulding,Legacy Bapt Church,4443,328,1080,467,1,1876,134,588,395,4,1121,2997,
6,Paulding,Watson Govt Cmplx,10774,656,2726,848,8,4238,381,1552,919,3,2855,7093,
7,Paulding,West Ridge Church,11546,1036,3662,1214,3,5915,309,1227,878,2,2416,8331,
8,Paulding,Events Place,4923,237,772,310,3,1322,240,1119,726,3,2088,3410,
9,Paulding,Poplar Sprgs Bapt Church,4825,265,953,305,0,1523,237,964,543,1,1745,3268,
10,Paulding,D Wright Innovation Ctr,7137,502,2235,384,2,3123,244,1030,585,1,1860,4983,
11,Paulding,Nebo Elem School,10070,1105,3310,787,4,5206,261,888,625,6,1780,6986,
12,Paulding,White Oak Park,5833,505,1670,450,7,2632,208,711,443,2,1364,3996,
13,Paulding,Mulberry Rock Park,5911,709,2324,601,4,3638,106,361,223,1,691,4329,
14,Paulding,Beulahland Baptist Church,2547,372,902,186,3,1463,53,186,124,0,363,1826,
15,Paulding,Paulding County Airport,4132,543,1326,323,3,2195,106,313,229,2,650,2845,
16,Paulding,Picketts Mill Baptist Church,2748,307,967,287,0,1561,66,264,232,1,563,2124,
17,Paulding,Taylor Farm Park,2761,172,783,293,0,1248,104,395,192,0,691,1939,
18,Paulding,Dobbins Middle School,8081,420,2051,519,2,2992,338,1523,933,2,2796,5788,
