index,County,Precinct,Registered Voters,Doris N. Cook (I) (Rep)_Election Day Votes,Doris N. Cook (I) (Rep)_Advanced Voting Votes,Doris N. Cook (I) (Rep)_Absentee by Mail Votes,Doris N. Cook (I) (Rep)_Provisional Votes,Doris N. Cook (I) (Rep)_Choice Total,Total,
0,Dawson,West,2723,407,977,405,0,1789,1789,
1,Dawson,Central,9891,966,4459,872,2,6299,6299,
2,Dawson,East,8915,1069,3843,1029,0,5941,5941,
