index,County,Precinct,Registered Voters,Will Wade (Rep)_Election Day Votes,Will Wade (Rep)_Advanced Voting Votes,Will Wade (Rep)_Absentee by Mail Votes,Will Wade (Rep)_Provisional Votes,Will Wade (Rep)_Choice Total,Sharon L. Ravert (Dem)_Election Day Votes,Sharon L. Ravert (Dem)_Advanced Voting Votes,Sharon L. Ravert (Dem)_Absentee by Mail Votes,Sharon L. Ravert (Dem)_Provisional Votes,Sharon L. Ravert (Dem)_Choice Total,Total,
0,Dawson,Central,9891,930,4475,815,2,6222,93,414,254,0,761,6983,
1,Dawson,East,8915,1023,3726,892,0,5641,113,442,421,1,977,6618,
