index,County,Precinct,Registered Voters,Chris Gaines (I) (Rep)_Election Day Votes,Chris Gaines (I) (Rep)_Advanced Voting Votes,Chris Gaines (I) (Rep)_Absentee by Mail Votes,Chris Gaines (I) (Rep)_Provisional Votes,Chris Gaines (I) (Rep)_Choice Total,Total,
0,Dawson,West,2723,408,998,405,0,1811,1811,
1,Dawson,Central,9891,967,4494,866,2,6329,6329,
2,Dawson,East,8915,1080,3886,1033,1,6000,6000,
