index,County,Precinct,Registered Voters,Jeff Johnson (I) (Rep)_Election Day Votes,Jeff Johnson (I) (Rep)_Advanced Voting Votes,Jeff Johnson (I) (Rep)_Absentee by Mail Votes,Jeff Johnson (I) (Rep)_Provisional Votes,Jeff Johnson (I) (Rep)_Choice Total,Total,
0,Dawson,West,2723,412,1009,411,0,1832,1832,
1,Dawson,Central,9891,964,4533,889,2,6388,6388,
2,Dawson,East,8915,1084,3915,1054,1,6054,6054,
