index,County,Precinct,Registered Voters,Sara Reeves Clark (I) (Rep)_Election Day Votes,Sara Reeves Clark (I) (Rep)_Advanced Voting Votes,Sara Reeves Clark (I) (Rep)_Absentee by Mail Votes,Sara Reeves Clark (I) (Rep)_Provisional Votes,Sara Reeves Clark (I) (Rep)_Choice Total,Total,
0,Lee,Chokee,475,99,95,48,0,242,242,
1,Lee,Redbone,4841,793,1960,380,2,3135,3135,
2,Lee,Smithville,998,167,297,64,0,528,528,
3,Lee,CJC,614,127,293,38,0,458,458,
4,Lee,Leesburg,3313,469,1272,228,1,1970,1970,
5,Lee,Friendship Baptist,1376,242,572,86,0,900,900,
6,Lee,First Baptist,3921,602,1679,401,1,2683,2683,
7,Lee,SDA Church,1576,313,639,139,0,1091,1091,
8,Lee,Flint Reformed Baptist,2621,389,1032,174,0,1595,1595,
9,Lee,Century Fire Station,3162,416,1277,291,1,1985,1985,
