index,County,Precinct,Registered Voters,Reggie D. Rachals (I) (Rep)_Election Day Votes,Reggie D. Rachals (I) (Rep)_Advanced Voting Votes,Reggie D. Rachals (I) (Rep)_Absentee by Mail Votes,Reggie D. Rachals (I) (Rep)_Provisional Votes,Reggie D. Rachals (I) (Rep)_Choice Total,Total,
0,Lee,Chokee,475,99,101,55,0,255,255,
1,Lee,Redbone,4841,790,1981,402,2,3175,3175,
2,Lee,Smithville,998,173,303,72,0,548,548,
3,Lee,CJC,614,132,284,42,0,458,458,
4,Lee,Leesburg,3313,477,1287,242,1,2007,2007,
5,Lee,Friendship Baptist,1376,240,573,87,0,900,900,
6,Lee,First Baptist,3921,604,1724,410,1,2739,2739,
7,Lee,SDA Church,1576,312,640,137,0,1089,1089,
8,Lee,Flint Reformed Baptist,2621,386,1034,182,0,1602,1602,
9,Lee,Century Fire Station,3162,428,1291,301,1,2021,2021,
