index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Lee,Chokee,475,83,82,19,0,184,42,42,72,0,156,1,1,1,0,3,343,
1,Lee,Redbone,4841,684,1759,261,2,2706,137,358,198,1,694,26,25,11,0,62,3462,
2,Lee,Smithville,998,111,240,41,0,392,105,96,66,0,267,3,7,1,0,11,670,
3,Lee,CJC,614,128,263,30,0,421,8,39,17,0,64,3,3,0,0,6,491,
4,Lee,Leesburg,3313,364,1032,137,1,1534,128,381,139,0,648,18,21,5,0,44,2226,
5,Lee,Friendship Baptist,1376,216,516,66,0,798,31,112,36,0,179,5,4,3,0,12,989,
6,Lee,First Baptist,3921,504,1397,249,0,2150,141,498,255,1,895,20,25,12,0,57,3102,
7,Lee,SDA Church,1576,267,536,99,0,902,60,171,80,0,311,6,9,1,0,16,1229,
8,Lee,Flint Reformed Baptist,2621,326,866,103,0,1295,93,251,113,0,457,8,9,4,0,21,1773,
9,Lee,Century Fire Station,3162,306,990,183,1,1480,144,428,181,0,753,12,20,9,0,41,2274,
