index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Lee,Chokee,475,81,84,19,0,184,41,38,75,0,154,338,
1,Lee,Redbone,4841,677,1737,277,2,2693,144,361,202,1,708,3401,
2,Lee,Smithville,998,108,237,39,0,384,97,101,66,0,264,648,
3,Lee,CJC,614,120,258,30,0,408,15,38,17,0,70,478,
4,Lee,Leesburg,3313,371,1035,146,1,1553,122,367,137,0,626,2179,
5,Lee,Friendship Baptist,1376,219,515,71,0,805,30,104,36,0,170,975,
6,Lee,First Baptist,3921,517,1408,268,0,2193,135,480,243,1,859,3052,
7,Lee,SDA Church,1576,269,540,100,0,909,56,165,79,0,300,1209,
8,Lee,Flint Reformed Baptist,2621,314,856,107,0,1277,98,243,109,0,450,1727,
9,Lee,Century Fire Station,3162,316,995,208,1,1520,138,422,164,0,724,2244,
