index,County,Precinct,Registered Voters,Bill Yearta (I) (Rep)_Election Day Votes,Bill Yearta (I) (Rep)_Advanced Voting Votes,Bill Yearta (I) (Rep)_Absentee by Mail Votes,Bill Yearta (I) (Rep)_Provisional Votes,Bill Yearta (I) (Rep)_Choice Total,Total,
0,Lee,Chokee,475,98,96,44,0,238,238,
1,Lee,Redbone,4841,787,1964,378,3,3132,3132,
2,Lee,Smithville,998,166,297,58,0,521,521,
3,Lee,CJC,614,132,294,38,0,464,464,
4,Lee,Leesburg,3313,469,1255,217,1,1942,1942,
5,Lee,Friendship Baptist,1376,243,572,83,0,898,898,
6,Lee,First Baptist,3921,604,1682,388,1,2675,2675,
7,Lee,SDA Church,1576,315,637,137,0,1089,1089,
8,Lee,Flint Reformed Baptist,2621,389,1026,166,0,1581,1581,
9,Lee,Century Fire Station,3162,418,1275,284,1,1978,1978,
