index,County,Precinct,Registered Voters,Susan Smith (I) (Rep)_Election Day Votes,Susan Smith (I) (Rep)_Advanced Voting Votes,Susan Smith (I) (Rep)_Absentee by Mail Votes,Susan Smith (I) (Rep)_Provisional Votes,Susan Smith (I) (Rep)_Choice Total,Total,
0,Lee,Chokee,475,98,102,48,0,248,248,
1,Lee,Redbone,4841,794,1983,397,2,3176,3176,
2,Lee,Smithville,998,179,306,70,0,555,555,
3,Lee,CJC,614,131,288,39,0,458,458,
4,Lee,Leesburg,3313,469,1282,234,1,1986,1986,
5,Lee,Friendship Baptist,1376,241,574,85,0,900,900,
6,Lee,First Baptist,3921,608,1713,408,1,2730,2730,
7,Lee,SDA Church,1576,312,635,139,0,1086,1086,
8,Lee,Flint Reformed Baptist,2621,394,1029,179,0,1602,1602,
9,Lee,Century Fire Station,3162,422,1293,298,1,2014,2014,
