index,County,Precinct,Registered Voters,Derry Bennett (I)_Election Day Votes,Derry Bennett (I)_Advanced Voting Votes,Derry Bennett (I)_Absentee by Mail Votes,Derry Bennett (I)_Provisional Votes,Derry Bennett (I)_Choice Total,Total,
0,Cook,Cecil,1899,214,644,130,0,988,988,
1,Cook,Delle Beamguard,2446,269,1002,227,0,1498,1498,
2,Cook,Elm Pine,531,62,80,62,0,204,204,
3,Cook,Lenox,1275,286,405,88,0,779,779,
4,Cook,Massee,919,109,437,49,0,595,595,
5,Cook,New Life Baptist Church,1233,254,510,77,0,841,841,
6,Cook,Riverbend,1280,137,576,122,0,835,835,
7,Cook,Sparks,1049,158,218,83,0,459,459,
