index,County,Precinct,Registered Voters,Russ Goodman (Rep)_Election Day Votes,Russ Goodman (Rep)_Advanced Voting Votes,Russ Goodman (Rep)_Absentee by Mail Votes,Russ Goodman (Rep)_Provisional Votes,Russ Goodman (Rep)_Choice Total,Treva Gear (Dem)_Election Day Votes,Treva Gear (Dem)_Advanced Voting Votes,Treva Gear (Dem)_Absentee by Mail Votes,Treva Gear (Dem)_Provisional Votes,Treva Gear (Dem)_Choice Total,Total,
0,Cook,Cecil,1899,135,431,52,0,618,110,293,120,1,524,1142,
1,Cook,Delle Beamguard,2446,197,881,142,0,1220,97,207,123,0,427,1647,
2,Cook,Elm Pine,531,4,6,3,0,13,83,105,72,0,260,273,
3,Cook,Lenox,1275,237,384,68,0,689,81,67,34,0,182,871,
4,Cook,Massee,919,98,377,35,0,510,14,80,23,0,117,627,
5,Cook,New Life Baptist Church,1233,228,459,54,0,741,25,66,30,0,121,862,
6,Cook,Riverbend,1280,121,556,105,0,782,22,79,30,0,131,913,
7,Cook,Sparks,1049,61,114,31,0,206,135,130,73,0,338,544,
