index,County,Precinct,Registered Voters,Tonya G. McConnell (I) (Rep)_Election Day Votes,Tonya G. McConnell (I) (Rep)_Advanced Voting Votes,Tonya G. McConnell (I) (Rep)_Absentee by Mail Votes,Tonya G. McConnell (I) (Rep)_Provisional Votes,Tonya G. McConnell (I) (Rep)_Choice Total,Total,
0,Cook,Cecil,1899,216,652,131,0,999,999,
1,Cook,Delle Beamguard,2446,274,1024,224,0,1522,1522,
2,Cook,Elm Pine,531,62,83,60,0,205,205,
3,Cook,Lenox,1275,288,418,91,0,797,797,
4,Cook,Massee,919,109,445,50,0,604,604,
5,Cook,New Life Baptist Church,1233,256,507,78,0,841,841,
6,Cook,Riverbend,1280,138,612,125,0,875,875,
7,Cook,Sparks,1049,164,219,82,0,465,465,
