index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Cook,Cecil,1899,135,450,52,0,637,104,290,119,1,514,8,6,1,0,15,1166,
1,Cook,Delle Beamguard,2446,206,897,146,0,1249,86,198,120,0,404,4,10,5,0,19,1672,
2,Cook,Elm Pine,531,6,8,3,0,17,82,105,73,0,260,0,5,0,0,5,282,
3,Cook,Lenox,1275,241,392,69,0,702,79,66,35,0,180,6,1,1,0,8,890,
4,Cook,Massee,919,100,386,35,0,521,15,79,25,0,119,0,5,0,0,5,645,
5,Cook,New Life Baptist Church,1233,235,471,55,0,761,22,61,30,0,113,4,5,2,0,11,885,
6,Cook,Riverbend,1280,125,573,101,0,799,17,75,35,0,127,2,4,1,0,7,933,
7,Cook,Sparks,1049,65,124,25,0,214,133,134,75,0,342,2,0,4,0,6,562,
