index,County,Precinct,Registered Voters,April M. Garrett (I) (Rep)_Election Day Votes,April M. Garrett (I) (Rep)_Advanced Voting Votes,April M. Garrett (I) (Rep)_Absentee by Mail Votes,April M. Garrett (I) (Rep)_Provisional Votes,April M. Garrett (I) (Rep)_Choice Total,Total,
0,Cook,Cecil,1899,214,629,126,0,969,969,
1,Cook,Delle Beamguard,2446,267,1024,219,0,1510,1510,
2,Cook,Elm Pine,531,58,75,58,0,191,191,
3,Cook,Lenox,1275,287,414,89,0,790,790,
4,Cook,Massee,919,110,443,49,0,602,602,
5,Cook,New Life Baptist Church,1233,250,507,73,0,830,830,
6,Cook,Riverbend,1280,138,605,123,0,866,866,
7,Cook,Sparks,1049,158,214,78,0,450,450,
