index,County,Precinct,Registered Voters,Audie C. Rowe (I) (Rep)_Election Day Votes,Audie C. Rowe (I) (Rep)_Advanced Voting Votes,Audie C. Rowe (I) (Rep)_Absentee by Mail Votes,Audie C. Rowe (I) (Rep)_Provisional Votes,Audie C. Rowe (I) (Rep)_Choice Total,Total,
0,Cook,New Life Baptist Church,1233,243,479,70,0,792,792,
1,Cook,Riverbend,1280,107,438,82,0,627,627,
