index,County,Precinct,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total,
0,Cook,Cecil,1899,210,619,116,0,945,945,
1,Cook,Delle Beamguard,2446,271,1003,210,0,1484,1484,
2,Cook,Elm Pine,531,57,70,55,0,182,182,
3,Cook,Lenox,1275,283,404,90,0,777,777,
4,Cook,Massee,919,110,437,48,0,595,595,
5,Cook,New Life Baptist Church,1233,249,502,74,0,825,825,
6,Cook,Riverbend,1280,138,601,116,0,855,855,
7,Cook,Sparks,1049,152,209,73,0,434,434,
