index,County,Precinct,Registered Voters,Tim Purvis (I) (Rep)_Election Day Votes,Tim Purvis (I) (Rep)_Advanced Voting Votes,Tim Purvis (I) (Rep)_Absentee by Mail Votes,Tim Purvis (I) (Rep)_Provisional Votes,Tim Purvis (I) (Rep)_Choice Total,Total,
0,Cook,Cecil,1899,219,650,127,0,996,996,
1,Cook,Delle Beamguard,2446,274,1024,224,0,1522,1522,
2,Cook,Elm Pine,531,59,73,59,0,191,191,
3,Cook,Lenox,1275,294,426,90,0,810,810,
4,Cook,Massee,919,111,444,49,0,604,604,
5,Cook,New Life Baptist Church,1233,255,512,79,0,846,846,
6,Cook,Riverbend,1280,140,608,122,0,870,870,
7,Cook,Sparks,1049,161,222,83,0,466,466,
