index,County,Precinct,Registered Voters,Doug Hanks (I) (Ind)_Election Day Votes,Doug Hanks (I) (Ind)_Advanced Voting Votes,Doug Hanks (I) (Ind)_Absentee by Mail Votes,Doug Hanks (I) (Ind)_Provisional Votes,Doug Hanks (I) (Ind)_Choice Total,Total,
0,Cook,Cecil,1899,220,681,136,0,1037,1037,
1,Cook,Delle Beamguard,2446,273,1036,240,0,1549,1549,
2,Cook,Elm Pine,531,70,90,67,0,227,227,
3,Cook,Lenox,1275,293,410,91,0,794,794,
4,Cook,Massee,919,110,447,49,0,606,606,
5,Cook,New Life Baptist Church,1233,248,509,79,0,836,836,
6,Cook,Riverbend,1280,133,607,131,0,871,871,
7,Cook,Sparks,1049,172,225,92,0,489,489,
