index,County,Precinct,Registered Voters,Craig Herrington (I) (Rep)_Election Day Votes,Craig Herrington (I) (Rep)_Advanced Voting Votes,Craig Herrington (I) (Rep)_Absentee by Mail Votes,Craig Herrington (I) (Rep)_Provisional Votes,Craig Herrington (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,352,958,464,0,1774,1774,
1,Hall,Chicopee,0,168,295,126,0,589,589,
2,Hall,Oakwood I,0,303,687,234,0,1224,1224,
3,Hall,Oakwood II,0,442,1542,521,0,2505,2505,
4,Hall,Flowery Branch I,0,486,1705,581,0,2772,2772,
5,Hall,Flowery Branch II,0,462,1242,364,0,2068,2068,
6,Hall,Roberts,0,402,1509,652,0,2563,2563,
7,Hall,Morgan I,0,512,1727,431,0,2670,2670,
8,Hall,Morgan II,0,461,1856,574,0,2891,2891,
9,Hall,Candler,0,631,1902,593,0,3126,3126,
10,Hall,Tadmore,0,619,1424,523,0,2566,2566,
11,Hall,Glade,0,386,1230,343,0,1959,1959,
12,Hall,Lula,0,589,1291,336,0,2216,2216,
13,Hall,Clermont,0,434,1739,366,0,2539,2539,
14,Hall,Quillians,0,248,1462,317,0,2027,2027,
15,Hall,Bark Camp,0,532,2528,695,0,3755,3755,
16,Hall,Chestatee,0,523,1496,502,0,2521,2521,
17,Hall,Fork,0,548,1226,438,0,2212,2212,
18,Hall,Whelchel,0,397,1809,529,0,2735,2735,
19,Hall,West Whelchel,0,255,1125,542,0,1922,1922,
20,Hall,Gainesville I,0,48,138,42,0,228,228,
21,Hall,Gainesville II,0,82,180,119,0,381,381,
22,Hall,Gainesville III,0,140,250,134,0,524,524,
23,Hall,Gainesville IV,0,39,68,26,0,133,133,
24,Hall,Gainesville V,0,2,2,1,0,5,5,
25,Hall,Gillsville,0,331,390,94,0,815,815,
26,Hall,Big Hickory,0,395,1909,481,0,2785,2785,
27,Hall,Friendship I,0,604,3799,1480,0,5883,5883,
28,Hall,Friendship II,0,425,1275,323,0,2023,2023,
29,Hall,Friendship III,0,412,2011,440,0,2863,2863,
30,Hall,Friendship IV,0,208,1816,356,0,2380,2380,
