index,County,Precinct,Registered Voters,Timothy Barr (I) (Rep)_Election Day Votes,Timothy Barr (I) (Rep)_Advanced Voting Votes,Timothy Barr (I) (Rep)_Absentee by Mail Votes,Timothy Barr (I) (Rep)_Provisional Votes,Timothy Barr (I) (Rep)_Choice Total,Clifton_Election Day Votes,Clifton_Advanced Voting Votes,Clifton_Absentee by Mail Votes,Clifton_Provisional Votes,Clifton_Choice Total,Total,
0,Hall,Roberts,0,194,581,179,0,954,70,164,149,0,383,1337,
1,Hall,Morgan I,0,473,1601,383,0,2457,86,262,166,0,514,2971,
2,Hall,Friendship I,0,537,3486,1241,0,5264,105,676,785,0,1566,6830,
3,Hall,Friendship II,0,398,1193,262,0,1853,76,301,162,0,539,2392,
4,Hall,Friendship III,0,38,201,38,0,277,14,53,36,0,103,380,
5,Hall,Friendship IV,0,142,1140,175,0,1457,27,308,139,0,474,1931,
