index,County,Precinct,Registered Voters,Todd Chapman_Election Day Votes,Todd Chapman_Advanced Voting Votes,Todd Chapman_Absentee by Mail Votes,Todd Chapman_Provisional Votes,Todd Chapman_Choice Total,Michael Crow_Election Day Votes,Michael Crow_Advanced Voting Votes,Michael Crow_Absentee by Mail Votes,Michael Crow_Provisional Votes,Michael Crow_Choice Total,Mike Haynes (I)_Election Day Votes,Mike Haynes (I)_Advanced Voting Votes,Mike Haynes (I)_Absentee by Mail Votes,Mike Haynes (I)_Provisional Votes,Mike Haynes (I)_Choice Total,Total,
0,Hall,Wilson,0,281,1049,658,0,1988,216,648,426,0,1290,293,1457,1028,0,2778,6056,
1,Hall,Chicopee,0,228,685,225,0,1138,192,468,157,0,817,230,750,287,0,1267,3222,
2,Hall,Oakwood I,0,211,504,146,0,861,142,319,97,0,558,203,546,200,0,949,2368,
3,Hall,Oakwood II,0,275,869,305,0,1449,185,553,184,0,922,319,1201,474,0,1994,4365,
4,Hall,Flowery Branch I,0,256,932,316,0,1504,195,684,255,0,1134,353,1247,490,0,2090,4728,
5,Hall,Flowery Branch II,0,272,696,209,0,1177,175,523,164,0,862,342,923,291,0,1556,3595,
6,Hall,Roberts,0,329,1129,469,0,1927,203,792,328,0,1323,419,1683,725,0,2827,6077,
7,Hall,Morgan I,0,303,960,219,0,1482,195,575,152,0,922,375,1295,365,0,2035,4439,
8,Hall,Morgan II,0,279,1063,332,0,1674,191,673,232,0,1096,314,1396,482,0,2192,4962,
9,Hall,Candler,0,410,1215,342,0,1967,309,744,235,0,1288,417,1502,547,0,2466,5721,
10,Hall,Tadmore,0,448,1024,344,0,1816,354,707,249,0,1310,400,1002,416,0,1818,4944,
11,Hall,Glade,0,277,784,238,0,1299,143,451,146,0,740,273,979,331,0,1583,3622,
12,Hall,Lula,0,346,744,204,0,1294,224,409,98,0,731,416,948,263,0,1627,3652,
13,Hall,Clermont,0,248,1090,183,0,1521,128,443,79,0,650,306,1390,329,0,2025,4196,
14,Hall,Quillians,0,153,903,195,0,1251,73,331,66,0,470,182,1190,275,0,1647,3368,
15,Hall,Bark Camp,0,325,1471,377,0,2173,208,754,222,0,1184,374,1910,602,0,2886,6243,
16,Hall,Chestatee,0,299,839,286,0,1424,200,457,160,0,817,387,1171,455,0,2013,4254,
17,Hall,Fork,0,282,723,254,0,1259,184,402,151,0,737,398,999,366,0,1763,3759,
18,Hall,Whelchel,0,240,1079,297,0,1616,164,509,184,0,857,302,1473,486,0,2261,4734,
19,Hall,West Whelchel,0,198,790,391,0,1379,97,458,181,0,736,273,1309,710,0,2292,4407,
20,Hall,Gainesville I,0,262,691,311,0,1264,159,419,197,0,775,313,935,491,0,1739,3778,
21,Hall,Gainesville II,0,166,310,222,0,698,131,268,169,0,568,120,224,241,0,585,1851,
22,Hall,Gainesville III,0,349,656,229,0,1234,292,493,181,0,966,310,682,337,0,1329,3529,
23,Hall,Gainesville IV,0,145,445,167,0,757,114,304,102,0,520,189,612,295,0,1096,2373,
24,Hall,Gainesville V,0,109,247,93,0,449,73,145,52,0,270,122,320,144,0,586,1305,
25,Hall,Gillsville,0,200,246,56,0,502,105,131,40,0,276,245,264,76,0,585,1363,
26,Hall,Big Hickory,0,223,1012,239,0,1474,126,470,112,0,708,296,1526,415,0,2237,4419,
27,Hall,Friendship I,0,353,2028,809,0,3190,233,1288,561,0,2082,435,3006,1276,0,4717,9989,
28,Hall,Friendship II,0,236,732,167,0,1135,184,501,125,0,810,315,1040,267,0,1622,3567,
29,Hall,Friendship III,0,247,1166,268,0,1681,179,781,193,0,1153,274,1514,356,0,2144,4978,
30,Hall,Friendship IV,0,115,1078,196,0,1389,65,625,133,0,823,154,1372,302,0,1828,4040,
