index,County,Precinct,Registered Voters,Margaret S. Gregory (I) (Rep)_Election Day Votes,Margaret S. Gregory (I) (Rep)_Advanced Voting Votes,Margaret S. Gregory (I) (Rep)_Absentee by Mail Votes,Margaret S. Gregory (I) (Rep)_Provisional Votes,Margaret S. Gregory (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,460,1899,1156,0,3515,3515,
1,Hall,Chicopee,0,360,1061,351,0,1772,1772,
2,Hall,Oakwood I,0,329,753,246,0,1328,1328,
3,Hall,Oakwood II,0,461,1630,544,0,2635,2635,
4,Hall,Flowery Branch I,0,482,1704,584,0,2770,2770,
5,Hall,Flowery Branch II,0,462,1250,364,0,2076,2076,
6,Hall,Roberts,0,576,2180,898,0,3654,3654,
7,Hall,Morgan I,0,510,1729,430,0,2669,2669,
8,Hall,Morgan II,0,457,1866,578,0,2901,2901,
9,Hall,Candler,0,665,2055,661,0,3381,3381,
10,Hall,Tadmore,0,659,1509,552,0,2720,2720,
11,Hall,Glade,0,414,1342,418,0,2174,2174,
12,Hall,Lula,0,591,1284,339,0,2214,2214,
13,Hall,Clermont,0,434,1741,366,0,2541,2541,
14,Hall,Quillians,0,247,1465,322,0,2034,2034,
15,Hall,Bark Camp,0,531,2523,700,0,3754,3754,
16,Hall,Chestatee,0,529,1513,521,0,2563,2563,
17,Hall,Fork,0,555,1267,454,0,2276,2276,
18,Hall,Whelchel,0,422,1872,556,0,2850,2850,
19,Hall,West Whelchel,0,374,1616,794,0,2784,2784,
20,Hall,Gainesville I,0,448,1197,603,0,2248,2248,
21,Hall,Gainesville II,0,214,411,319,0,944,944,
22,Hall,Gainesville III,0,515,1003,408,0,1926,1926,
23,Hall,Gainesville IV,0,258,799,334,0,1391,1391,
24,Hall,Gainesville V,0,186,427,160,0,773,773,
25,Hall,Gillsville,0,331,391,95,0,817,817,
26,Hall,Big Hickory,0,401,1914,490,0,2805,2805,
27,Hall,Friendship I,0,605,3797,1486,0,5888,5888,
28,Hall,Friendship II,0,434,1330,329,0,2093,2093,
29,Hall,Friendship III,0,413,1995,447,0,2855,2855,
30,Hall,Friendship IV,0,208,1817,359,0,2384,2384,
