index,County,Precinct,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total,
0,Meriwether,Chalybeate,451,178,107,44,0,329,329,
1,Meriwether,Gill I,1662,300,308,180,1,789,789,
2,Meriwether,Gill II,1000,60,101,73,0,234,234,
3,Meriwether,Cove,202,21,9,5,0,35,35,
