index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Meriwether,Chalybeate,451,171,108,30,0,309,17,7,21,0,45,3,1,0,0,4,358,
1,Meriwether,Gill I,1662,268,340,142,0,750,148,123,127,1,399,17,6,6,0,29,1178,
2,Meriwether,Gill II,1000,37,76,29,0,142,151,157,196,0,504,2,3,5,0,10,656,
3,Meriwether,Odessadale,296,33,82,26,0,141,34,16,36,1,87,0,0,1,0,1,229,
4,Meriwether,Greenville,2009,108,463,113,0,684,99,348,186,1,634,9,13,4,0,26,1344,
5,Meriwether,Lone Oak,1263,157,269,62,0,488,92,152,162,0,406,3,6,2,0,11,905,
6,Meriwether,Luthersville,2760,380,612,161,0,1153,167,278,222,0,667,13,12,7,0,32,1852,
7,Meriwether,Alvaton,1528,242,354,107,1,704,117,122,127,2,368,10,6,3,0,19,1091,
8,Meriwether,Gay,411,83,106,29,0,218,19,17,34,0,70,6,2,3,0,11,299,
9,Meriwether,Woodbury,1363,152,263,84,0,499,165,148,127,0,440,8,6,7,0,21,960,
10,Meriwether,Warm Springs,1161,176,279,87,1,543,99,108,59,0,266,5,5,3,0,13,822,
11,Meriwether,Durand,730,157,142,49,0,348,46,72,54,0,172,1,3,5,0,9,529,
12,Meriwether,Raleigh,501,110,159,37,0,306,17,25,22,0,64,1,7,1,0,9,379,
13,Meriwether,Cove,202,90,28,29,0,147,6,2,5,0,13,0,0,0,0,0,160,
