index,County,Precinct,Registered Voters,Leon Coverson (I) (Dem)_Election Day Votes,Leon Coverson (I) (Dem)_Advanced Voting Votes,Leon Coverson (I) (Dem)_Absentee by Mail Votes,Leon Coverson (I) (Dem)_Provisional Votes,Leon Coverson (I) (Dem)_Choice Total,Total,
0,Meriwether,Odessadale,296,56,72,58,1,187,187,
1,Meriwether,Greenville,2009,127,396,187,0,710,710,
2,Meriwether,Lone Oak,1263,130,234,140,0,504,504,
3,Meriwether,Luthersville,2760,36,86,47,0,169,169,
4,Meriwether,Durand,730,92,110,66,0,268,268,
