index,County,Precinct,Registered Voters,Rosla G. Plant (Rep)_Election Day Votes,Rosla G. Plant (Rep)_Advanced Voting Votes,Rosla G. Plant (Rep)_Absentee by Mail Votes,Rosla G. Plant (Rep)_Provisional Votes,Rosla G. Plant (Rep)_Choice Total,Mary Bray (I) (Dem)_Election Day Votes,Mary Bray (I) (Dem)_Advanced Voting Votes,Mary Bray (I) (Dem)_Absentee by Mail Votes,Mary Bray (I) (Dem)_Provisional Votes,Mary Bray (I) (Dem)_Choice Total,Total,
0,Meriwether,Odessadale,296,34,81,27,0,142,32,18,37,1,88,230,
1,Meriwether,Greenville,2009,50,241,62,0,353,93,267,146,0,506,859,
2,Meriwether,Lone Oak,1263,107,223,46,0,376,60,94,109,0,263,639,
3,Meriwether,Luthersville,2760,29,64,10,0,103,15,50,42,0,107,210,
4,Meriwether,Durand,730,81,93,29,0,203,40,57,49,0,146,349,
