index,County,Precinct,Registered Voters,Debbie G. Buckner (I) (Dem)_Election Day Votes,Debbie G. Buckner (I) (Dem)_Advanced Voting Votes,Debbie G. Buckner (I) (Dem)_Absentee by Mail Votes,Debbie G. Buckner (I) (Dem)_Provisional Votes,Debbie G. Buckner (I) (Dem)_Choice Total,Total,
0,Meriwether,Chalybeate,451,134,73,48,0,255,255,
1,Meriwether,Gill I,1662,352,373,238,1,964,964,
2,Meriwether,Gill II,1000,167,197,210,0,574,574,
3,Meriwether,Greenville,2009,169,583,264,0,1016,1016,
4,Meriwether,Gay,411,72,69,45,0,186,186,
5,Meriwether,Woodbury,1363,263,306,191,0,760,760,
6,Meriwether,Warm Springs,1161,209,272,123,0,604,604,
7,Meriwether,Durand,730,136,147,84,0,367,367,
8,Meriwether,Raleigh,501,90,128,45,0,263,263,
9,Meriwether,Cove,202,68,23,27,0,118,118,
