index,County,Precinct,Registered Voters,"Teresa """"Terri"""" Moultrie (Dem)_Election Day Votes","Teresa """"Terri"""" Moultrie (Dem)_Advanced Voting Votes","Teresa """"Terri"""" Moultrie (Dem)_Absentee by Mail Votes","Teresa """"Terri"""" Moultrie (Dem)_Provisional Votes","Teresa """"Terri"""" Moultrie (Dem)_Choice Total",Chuck Smith (I) (Ind)_Election Day Votes,Chuck Smith (I) (Ind)_Advanced Voting Votes,Chuck Smith (I) (Ind)_Absentee by Mail Votes,Chuck Smith (I) (Ind)_Provisional Votes,Chuck Smith (I) (Ind)_Choice Total,Total,
0,Meriwether,Chalybeate,451,36,14,24,0,74,149,99,28,0,276,350,
1,Meriwether,Gill I,1662,155,126,115,0,396,254,324,162,1,741,1137,
2,Meriwether,Gill II,1000,124,133,160,0,417,56,96,71,0,223,640,
3,Meriwether,Odessadale,296,36,23,36,1,96,28,71,28,0,127,223,
4,Meriwether,Greenville,2009,111,366,143,0,620,93,425,161,0,679,1299,
5,Meriwether,Lone Oak,1263,104,167,139,0,410,136,236,86,0,458,868,
6,Meriwether,Luthersville,2760,191,327,193,0,711,344,534,199,0,1077,1788,
7,Meriwether,Alvaton,1528,111,115,102,1,329,242,343,137,2,724,1053,
8,Meriwether,Gay,411,36,24,21,0,81,67,90,42,0,199,280,
9,Meriwether,Woodbury,1363,159,143,105,0,407,159,252,113,0,524,931,
10,Meriwether,Warm Springs,1161,98,109,37,0,244,173,260,113,1,547,791,
11,Meriwether,Durand,730,48,66,46,0,160,150,129,59,0,338,498,
12,Meriwether,Raleigh,501,21,35,16,0,72,104,145,44,0,293,365,
13,Meriwether,Cove,202,12,2,4,0,18,82,28,33,0,143,161,
