index,County,Precinct,Registered Voters,Nell Rush Wilkins (Dem)_Election Day Votes,Nell Rush Wilkins (Dem)_Advanced Voting Votes,Nell Rush Wilkins (Dem)_Absentee by Mail Votes,Nell Rush Wilkins (Dem)_Provisional Votes,Nell Rush Wilkins (Dem)_Choice Total,Bryan Threadgill (I) (Ind)_Election Day Votes,Bryan Threadgill (I) (Ind)_Advanced Voting Votes,Bryan Threadgill (I) (Ind)_Absentee by Mail Votes,Bryan Threadgill (I) (Ind)_Provisional Votes,Bryan Threadgill (I) (Ind)_Choice Total,Total,
0,Meriwether,Chalybeate,451,20,6,21,0,47,163,106,29,0,298,345,
1,Meriwether,Gill I,1662,131,107,97,1,336,230,264,139,0,633,969,
2,Meriwether,Gill II,1000,127,118,161,0,406,23,52,19,0,94,500,
3,Meriwether,Cove,202,2,0,2,0,4,19,9,3,0,31,35,
