index,County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
0,Meriwether,Chalybeate,451,169,107,28,0,304,15,7,23,0,45,349,
1,Meriwether,Gill I,1662,283,342,139,0,764,139,121,130,1,391,1155,
2,Meriwether,Gill II,1000,43,83,28,0,154,141,142,203,0,486,640,
3,Meriwether,Odessadale,296,35,84,25,0,144,29,14,37,1,81,225,
4,Meriwether,Greenville,2009,111,458,127,0,696,99,333,182,0,614,1310,
5,Meriwether,Lone Oak,1263,157,267,61,0,485,92,150,167,0,409,894,
6,Meriwether,Luthersville,2760,384,616,166,0,1166,158,268,230,0,656,1822,
7,Meriwether,Alvaton,1528,249,350,116,1,716,112,121,125,2,360,1076,
8,Meriwether,Gay,411,85,106,29,0,220,21,16,32,0,69,289,
9,Meriwether,Woodbury,1363,157,262,90,0,509,157,143,119,0,419,928,
10,Meriwether,Warm Springs,1161,172,277,91,1,541,90,94,59,0,243,784,
11,Meriwether,Durand,730,158,145,53,0,356,43,67,54,0,164,520,
12,Meriwether,Raleigh,501,116,164,38,0,318,13,23,22,0,58,376,
13,Meriwether,Cove,202,90,29,31,0,150,5,1,6,0,12,162,
