index,County,Precinct,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total,
0,Crawford,District 1A,516,89,118,53,0,260,260,
1,Crawford,District 1B,1025,80,370,121,1,572,572,
2,Crawford,District 2,1659,143,557,230,1,931,931,
3,Crawford,District 3,1738,150,509,103,0,762,762,
4,Crawford,District 4,1805,232,407,139,0,778,778,
5,Crawford,District 5,1769,242,400,134,0,776,776,
