index,County,Precinct,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
0,Crawford,District 1A,516,87,128,46,0,261,261,
1,Crawford,District 1B,1025,87,340,90,1,518,518,
2,Crawford,District 2,1659,171,614,176,1,962,962,
3,Crawford,District 3,1738,215,756,145,0,1116,1116,
4,Crawford,District 4,1805,378,654,184,0,1216,1216,
5,Crawford,District 5,1769,377,622,164,0,1163,1163,
