index,County,Precinct,Registered Voters,Sheldon T. Mattox (I) (Rep)_Election Day Votes,Sheldon T. Mattox (I) (Rep)_Advanced Voting Votes,Sheldon T. Mattox (I) (Rep)_Absentee by Mail Votes,Sheldon T. Mattox (I) (Rep)_Provisional Votes,Sheldon T. Mattox (I) (Rep)_Choice Total,Total,
0,Crawford,District 1A,516,87,127,49,0,263,263,
1,Crawford,District 1B,1025,82,346,99,1,528,528,
2,Crawford,District 2,1659,164,627,189,1,981,981,
3,Crawford,District 3,1738,214,749,147,0,1110,1110,
4,Crawford,District 4,1805,372,655,188,0,1215,1215,
5,Crawford,District 5,1769,380,619,170,0,1169,1169,
