index,County,Precinct,Registered Voters,Ryan Johnson (I) (Rep)_Election Day Votes,Ryan Johnson (I) (Rep)_Advanced Voting Votes,Ryan Johnson (I) (Rep)_Absentee by Mail Votes,Ryan Johnson (I) (Rep)_Provisional Votes,Ryan Johnson (I) (Rep)_Choice Total,Total,
0,Crawford,District 1A,516,86,127,48,0,261,261,
1,Crawford,District 1B,1025,86,339,95,1,521,521,
2,Crawford,District 2,1659,166,621,182,1,970,970,
3,Crawford,District 3,1738,217,754,148,0,1119,1119,
4,Crawford,District 4,1805,370,647,180,0,1197,1197,
5,Crawford,District 5,1769,378,622,167,0,1167,1167,
