index,County,Precinct,Registered Voters,"William D. Martin, IV_Election Day Votes","William D. Martin, IV_Advanced Voting Votes","William D. Martin, IV_Absentee by Mail Votes","William D. Martin, IV_Provisional Votes","William D. Martin, IV_Choice Total",Total,
0,Crawford,District 1A,516,83,121,49,0,253,253,
1,Crawford,District 1B,1025,80,323,90,0,493,493,
2,Crawford,District 2,1659,152,581,205,1,939,939,
3,Crawford,District 3,1738,197,678,114,0,989,989,
4,Crawford,District 4,1805,321,559,171,0,1051,1051,
5,Crawford,District 5,1769,335,541,157,0,1033,1033,
