index,County,Precinct,Registered Voters,Lewis S. Walker (I) (Ind)_Election Day Votes,Lewis S. Walker (I) (Ind)_Advanced Voting Votes,Lewis S. Walker (I) (Ind)_Absentee by Mail Votes,Lewis S. Walker (I) (Ind)_Provisional Votes,Lewis S. Walker (I) (Ind)_Choice Total,Total,
0,Crawford,District 1A,516,97,143,53,0,293,293,
1,Crawford,District 1B,1025,94,423,132,1,650,650,
2,Crawford,District 2,1659,169,687,261,1,1118,1118,
3,Crawford,District 3,1738,211,740,165,0,1116,1116,
4,Crawford,District 4,1805,354,621,189,0,1164,1164,
5,Crawford,District 5,1769,342,589,172,0,1103,1103,
