index,County,Precinct,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
0,Crawford,District 1A,516,84,121,40,0,245,245,
1,Crawford,District 1B,1025,82,316,85,1,484,484,
2,Crawford,District 2,1659,160,601,166,1,928,928,
3,Crawford,District 3,1738,214,743,136,0,1093,1093,
4,Crawford,District 4,1805,379,637,183,0,1199,1199,
5,Crawford,District 5,1769,377,616,165,0,1158,1158,
