index,County,Precinct,Registered Voters,Patrice Walker (I) (Rep)_Election Day Votes,Patrice Walker (I) (Rep)_Advanced Voting Votes,Patrice Walker (I) (Rep)_Absentee by Mail Votes,Patrice Walker (I) (Rep)_Provisional Votes,Patrice Walker (I) (Rep)_Choice Total,Total,
0,Crawford,District 1A,516,90,129,50,0,269,269,
1,Crawford,District 1B,1025,89,369,103,1,562,562,
2,Crawford,District 2,1659,165,656,210,1,1032,1032,
3,Crawford,District 3,1738,210,765,155,0,1130,1130,
4,Crawford,District 4,1805,375,657,187,0,1219,1219,
5,Crawford,District 5,1769,383,628,174,0,1185,1185,
