index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Monroe,Bentons,2297,329,938,181,1,1449,41,173,124,0,338,17,28,5,0,50,1837,
1,Monroe,Brantleys,1123,225,508,56,0,789,6,64,28,0,98,8,20,5,0,33,920,
2,Monroe,Burgays,2268,415,909,184,3,1511,39,182,91,1,313,16,25,12,0,53,1877,
3,Monroe,Cabaniss,800,177,184,30,1,392,40,66,32,0,138,17,9,1,0,27,557,
4,Monroe,Cox,718,136,265,21,0,422,25,50,37,0,112,7,7,5,0,19,553,
5,Monroe,Culloden,454,105,75,30,0,210,42,28,29,1,100,4,3,1,0,8,318,
6,Monroe,Dillards,996,142,361,36,0,539,24,64,32,0,120,4,14,3,0,21,680,
7,Monroe,Evers,2127,269,858,126,0,1253,44,164,76,0,284,15,31,7,0,53,1590,
8,Monroe,Forsyth,4640,195,947,142,0,1284,176,868,555,0,1599,26,57,22,0,105,2988,
9,Monroe,High Falls,1994,330,593,105,1,1029,38,92,56,0,186,12,15,14,0,41,1256,
10,Monroe,Kelseys,722,114,154,28,0,296,36,115,79,0,230,5,7,3,0,15,541,
11,Monroe,Middlebrooks,1319,194,517,57,0,768,32,93,39,0,164,11,18,7,0,36,968,
12,Monroe,Proctors,1214,215,310,55,0,580,50,82,42,0,174,11,17,0,0,28,782,
13,Monroe,Russellville,466,129,126,15,0,270,21,15,15,0,51,5,2,0,0,7,328,
