index,County,Precinct,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
0,Monroe,Bentons,2297,364,1014,233,1,1612,1612,
1,Monroe,Brantleys,1123,229,550,67,0,846,846,
2,Monroe,Burgays,2268,449,998,229,4,1680,1680,
3,Monroe,Cabaniss,800,213,229,41,1,484,484,
4,Monroe,Cox,718,155,298,42,0,495,495,
5,Monroe,Culloden,454,132,84,44,0,260,260,
6,Monroe,Dillards,996,160,409,52,0,621,621,
7,Monroe,Evers,2127,301,968,160,0,1429,1429,
8,Monroe,Forsyth,4640,306,1437,382,0,2125,2125,
9,Monroe,High Falls,1994,361,644,136,1,1142,1142,
10,Monroe,Kelseys,722,143,209,63,0,415,415,
11,Monroe,Middlebrooks,1319,223,587,85,0,895,895,
12,Monroe,Proctors,1214,247,358,72,0,677,677,
13,Monroe,Russellville,466,145,137,24,0,306,306,
