index,County,Precinct,Registered Voters,"Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Election Day Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Advanced Voting Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Absentee by Mail Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Provisional Votes","Frank N. """"Buck"""" Wilder, IV (I) (Rep)_Choice Total",Total,
0,Monroe,Bentons,2297,364,1024,237,1,1626,1626,
1,Monroe,Brantleys,1123,235,557,70,0,862,862,
2,Monroe,Burgays,2268,447,997,222,4,1670,1670,
3,Monroe,Cabaniss,800,204,236,46,1,487,487,
4,Monroe,Cox,718,163,298,50,0,511,511,
5,Monroe,Culloden,454,140,92,44,1,277,277,
6,Monroe,Dillards,996,169,408,56,0,633,633,
7,Monroe,Evers,2127,310,983,165,0,1458,1458,
8,Monroe,Forsyth,4640,342,1568,450,0,2360,2360,
9,Monroe,High Falls,1994,364,650,143,1,1158,1158,
10,Monroe,Kelseys,722,143,214,70,0,427,427,
11,Monroe,Middlebrooks,1319,227,588,88,0,903,903,
12,Monroe,Proctors,1214,256,360,74,0,690,690,
13,Monroe,Russellville,466,148,137,25,0,310,310,
