index,County,Precinct,Registered Voters,Lori D. Andrews (I) (Rep)_Election Day Votes,Lori D. Andrews (I) (Rep)_Advanced Voting Votes,Lori D. Andrews (I) (Rep)_Absentee by Mail Votes,Lori D. Andrews (I) (Rep)_Provisional Votes,Lori D. Andrews (I) (Rep)_Choice Total,Total,
0,Monroe,Bentons,2297,366,1043,245,1,1655,1655,
1,Monroe,Brantleys,1123,232,560,70,0,862,862,
2,Monroe,Burgays,2268,451,1014,229,4,1698,1698,
3,Monroe,Cabaniss,800,214,236,47,1,498,498,
4,Monroe,Cox,718,163,299,49,0,511,511,
5,Monroe,Culloden,454,141,94,44,1,280,280,
6,Monroe,Dillards,996,167,411,58,0,636,636,
7,Monroe,Evers,2127,309,985,164,0,1458,1458,
8,Monroe,Forsyth,4640,333,1569,446,0,2348,2348,
9,Monroe,High Falls,1994,368,659,146,1,1174,1174,
10,Monroe,Kelseys,722,148,219,71,0,438,438,
11,Monroe,Middlebrooks,1319,227,594,89,0,910,910,
12,Monroe,Proctors,1214,262,368,78,0,708,708,
13,Monroe,Russellville,466,149,135,22,0,306,306,
