index,County,Precinct,Registered Voters,Larry C. Evans (I) (Dem)_Election Day Votes,Larry C. Evans (I) (Dem)_Advanced Voting Votes,Larry C. Evans (I) (Dem)_Absentee by Mail Votes,Larry C. Evans (I) (Dem)_Provisional Votes,Larry C. Evans (I) (Dem)_Choice Total,Lamarcus Davis (Ind)_Election Day Votes,Lamarcus Davis (Ind)_Advanced Voting Votes,Lamarcus Davis (Ind)_Absentee by Mail Votes,Lamarcus Davis (Ind)_Provisional Votes,Lamarcus Davis (Ind)_Choice Total,Total,
0,Monroe,Dillards,996,18,45,19,0,82,47,119,8,0,174,256,
1,Monroe,Evers,2127,47,155,49,0,251,110,349,48,0,507,758,
2,Monroe,Forsyth,4640,80,496,356,0,932,199,689,213,0,1101,2033,
3,Monroe,Proctors,1214,19,20,15,0,54,22,13,8,0,43,97,
