index,County,Precinct,Registered Voters,"William B. (Brad) Freeman, III (I) (Rep)_Election Day Votes","William B. (Brad) Freeman, III (I) (Rep)_Advanced Voting Votes","William B. (Brad) Freeman, III (I) (Rep)_Absentee by Mail Votes","William B. (Brad) Freeman, III (I) (Rep)_Provisional Votes","William B. (Brad) Freeman, III (I) (Rep)_Choice Total",Total,
0,Monroe,Bentons,2297,365,1041,245,1,1652,1652,
1,Monroe,Brantleys,1123,236,556,70,0,862,862,
2,Monroe,Burgays,2268,456,1009,228,3,1696,1696,
3,Monroe,Cabaniss,800,207,235,45,1,488,488,
4,Monroe,Cox,718,160,301,47,0,508,508,
5,Monroe,Culloden,454,142,89,45,1,277,277,
6,Monroe,Dillards,996,165,410,56,0,631,631,
7,Monroe,Evers,2127,310,974,164,0,1448,1448,
8,Monroe,Forsyth,4640,328,1514,431,0,2273,2273,
9,Monroe,High Falls,1994,363,657,145,1,1166,1166,
10,Monroe,Kelseys,722,141,222,66,0,429,429,
11,Monroe,Middlebrooks,1319,227,588,85,0,900,900,
12,Monroe,Proctors,1214,255,365,71,0,691,691,
13,Monroe,Russellville,466,147,137,25,0,309,309,
