index,County,Precinct,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
0,Monroe,Cox,718,161,294,42,0,497,497,
1,Monroe,Culloden,454,141,91,45,1,278,278,
2,Monroe,Forsyth,4640,183,835,256,0,1274,1274,
3,Monroe,Russellville,466,149,137,25,0,311,311,
