index,County,Precinct,Registered Voters,Terry L. Baskin (I) (Dem)_Election Day Votes,Terry L. Baskin (I) (Dem)_Advanced Voting Votes,Terry L. Baskin (I) (Dem)_Absentee by Mail Votes,Terry L. Baskin (I) (Dem)_Provisional Votes,Terry L. Baskin (I) (Dem)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,231,1186,639,5,2061,2061,
1,Clayton,Ellenwood 2,3273,255,1328,589,4,2176,2176,
2,Clayton,Forest Park 1,3566,438,536,392,9,1375,1375,
3,Clayton,Forest Park 2,2821,331,585,384,10,1310,1310,
4,Clayton,Forest Park 3,2845,275,505,371,19,1170,1170,
5,Clayton,Forest Park 4,1783,199,414,207,0,820,820,
6,Clayton,Forest Park 5,3924,428,795,408,18,1649,1649,
7,Clayton,Forest Park 6,1463,134,370,156,3,663,663,
8,Clayton,Jonesboro 1,3244,299,972,608,6,1885,1885,
9,Clayton,Jonesboro 2,4345,393,1290,750,10,2443,2443,
10,Clayton,Jonesboro 3,4107,305,1279,815,8,2407,2407,
11,Clayton,Jonesboro 4,2574,238,554,276,6,1074,1074,
12,Clayton,Jonesboro 5,2064,270,574,331,0,1175,1175,
13,Clayton,Jonesboro 6,2574,176,745,593,3,1517,1517,
14,Clayton,Jonesboro 7,3174,292,975,524,6,1797,1797,
15,Clayton,Jonesboro 8,3947,441,1027,373,4,1845,1845,
16,Clayton,Jonesboro 9,1759,162,335,205,4,706,706,
17,Clayton,Jonesboro 10,3398,353,708,423,5,1489,1489,
18,Clayton,Jonesboro 11,3863,305,1247,758,3,2313,2313,
19,Clayton,Jonesboro 12,3067,325,866,426,12,1629,1629,
20,Clayton,Jonesboro 13,2140,255,688,375,4,1322,1322,
21,Clayton,Jonesboro 14,4116,302,1387,825,3,2517,2517,
22,Clayton,Jonesboro 15,2872,251,692,267,9,1219,1219,
23,Clayton,Jonesboro 16,2560,320,562,340,3,1225,1225,
24,Clayton,Jonesboro 17,3359,319,804,511,10,1644,1644,
25,Clayton,Jonesboro 18,3301,344,961,445,6,1756,1756,
26,Clayton,Jonesboro 19,3299,310,909,511,11,1741,1741,
27,Clayton,Lake City,3217,285,852,384,10,1531,1531,
28,Clayton,Lovejoy 1,4061,340,1431,636,2,2409,2409,
29,Clayton,Lovejoy 2,3611,260,1152,488,8,1908,1908,
30,Clayton,Lovejoy 3,1666,128,647,381,2,1158,1158,
31,Clayton,Lovejoy 4,4149,302,1599,641,4,2546,2546,
32,Clayton,Lovejoy 5,3451,315,1046,503,15,1879,1879,
33,Clayton,Lovejoy 6,3708,290,1275,617,7,2189,2189,
34,Clayton,Lovejoy 7,2779,256,833,225,6,1320,1320,
35,Clayton,Morrow 1,3328,421,777,374,2,1574,1574,
36,Clayton,Morrow 2,2081,151,557,287,2,997,997,
37,Clayton,Morrow 3,2407,194,636,370,5,1205,1205,
38,Clayton,Morrow 4,2112,211,517,284,3,1015,1015,
39,Clayton,Morrow 5,3056,285,1106,587,2,1980,1980,
40,Clayton,Morrow 6,3030,325,963,450,5,1743,1743,
41,Clayton,Morrow 7,2142,274,473,255,6,1008,1008,
42,Clayton,Morrow 8,3185,283,1132,539,10,1964,1964,
43,Clayton,Morrow 9,1509,137,419,225,1,782,782,
44,Clayton,Morrow 10,2342,175,836,293,3,1307,1307,
45,Clayton,Morrow 11,2295,251,681,292,2,1226,1226,
46,Clayton,Oak 1,2635,336,741,282,3,1362,1362,
47,Clayton,Oak 2,1974,235,425,221,10,891,891,
48,Clayton,Oak 3,2731,318,678,378,5,1379,1379,
49,Clayton,Oak 4,4233,447,1130,482,7,2066,2066,
50,Clayton,Oak 5,1795,184,395,84,5,668,668,
51,Clayton,Panhandle 1,2895,254,1083,585,2,1924,1924,
52,Clayton,Panhandle 2,3382,315,1262,524,3,2104,2104,
53,Clayton,Riverdale 1,2330,182,852,439,9,1482,1482,
54,Clayton,Riverdale 2,3431,323,925,548,25,1821,1821,
55,Clayton,Riverdale 3,3650,351,1116,608,7,2082,2082,
56,Clayton,Riverdale 4,4362,445,1010,656,9,2120,2120,
57,Clayton,Riverdale 5,2970,324,829,437,10,1600,1600,
58,Clayton,Riverdale 6,3661,374,692,408,9,1483,1483,
59,Clayton,Riverdale 7,3020,316,557,340,12,1225,1225,
60,Clayton,Riverdale 8,2895,251,930,623,5,1809,1809,
61,Clayton,Riverdale 9,2653,288,745,396,6,1435,1435,
62,Clayton,Riverdale 10,3176,334,686,290,9,1319,1319,
63,Clayton,Riverdale 11,1881,174,631,313,1,1119,1119,
64,Clayton,Riverdale 12,3065,313,923,533,2,1771,1771,
