index,County,Precinct,Registered Voters,Gail Hambrick (I) (Dem)_Election Day Votes,Gail Hambrick (I) (Dem)_Advanced Voting Votes,Gail Hambrick (I) (Dem)_Absentee by Mail Votes,Gail Hambrick (I) (Dem)_Provisional Votes,Gail Hambrick (I) (Dem)_Choice Total,Total,
0,Clayton,Forest Park 1,3566,431,528,380,5,1344,1344,
1,Clayton,Forest Park 3,2845,274,490,362,16,1142,1142,
2,Clayton,Forest Park 4,1783,62,147,73,0,282,282,
3,Clayton,Forest Park 5,3924,428,792,393,11,1624,1624,
4,Clayton,Oak 1,2635,333,738,283,3,1357,1357,
5,Clayton,Oak 2,1974,237,421,217,9,884,884,
6,Clayton,Oak 3,2731,317,680,375,4,1376,1376,
7,Clayton,Oak 4,4233,447,1131,476,7,2061,2061,
8,Clayton,Oak 5,1795,184,394,83,5,666,666,
9,Clayton,Riverdale 1,2330,177,849,435,6,1467,1467,
10,Clayton,Riverdale 2,3431,177,481,252,1,911,911,
11,Clayton,Riverdale 3,3650,346,1121,610,3,2080,2080,
12,Clayton,Riverdale 7,3020,237,440,277,6,960,960,
13,Clayton,Riverdale 8,2895,255,916,621,5,1797,1797,
14,Clayton,Riverdale 10,3176,333,678,289,7,1307,1307,
15,Clayton,Riverdale 11,1881,174,636,321,1,1132,1132,
16,Clayton,Riverdale 12,3065,309,913,535,2,1759,1759,
