index,County,Precinct,Registered Voters,Pamela P. Ferguson (I) (Dem)_Election Day Votes,Pamela P. Ferguson (I) (Dem)_Advanced Voting Votes,Pamela P. Ferguson (I) (Dem)_Absentee by Mail Votes,Pamela P. Ferguson (I) (Dem)_Provisional Votes,Pamela P. Ferguson (I) (Dem)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,233,1181,640,4,2058,2058,
1,Clayton,Ellenwood 2,3273,252,1322,585,4,2163,2163,
2,Clayton,Forest Park 1,3566,430,531,380,9,1350,1350,
3,Clayton,Forest Park 2,2821,325,572,388,11,1296,1296,
4,Clayton,Forest Park 3,2845,280,492,367,20,1159,1159,
5,Clayton,Forest Park 4,1783,196,403,212,0,811,811,
6,Clayton,Forest Park 5,3924,432,796,395,17,1640,1640,
7,Clayton,Forest Park 6,1463,129,366,153,3,651,651,
8,Clayton,Jonesboro 1,3244,301,973,598,6,1878,1878,
9,Clayton,Jonesboro 2,4345,392,1282,742,9,2425,2425,
10,Clayton,Jonesboro 3,4107,306,1269,805,7,2387,2387,
11,Clayton,Jonesboro 4,2574,236,547,276,5,1064,1064,
12,Clayton,Jonesboro 5,2064,265,571,332,0,1168,1168,
13,Clayton,Jonesboro 6,2574,165,711,575,3,1454,1454,
14,Clayton,Jonesboro 7,3174,289,958,526,6,1779,1779,
15,Clayton,Jonesboro 8,3947,443,1032,369,4,1848,1848,
16,Clayton,Jonesboro 9,1759,165,336,198,4,703,703,
17,Clayton,Jonesboro 10,3398,355,702,425,5,1487,1487,
18,Clayton,Jonesboro 11,3863,295,1228,761,3,2287,2287,
19,Clayton,Jonesboro 12,3067,324,859,413,13,1609,1609,
20,Clayton,Jonesboro 13,2140,260,685,373,4,1322,1322,
21,Clayton,Jonesboro 14,4116,298,1358,811,3,2470,2470,
22,Clayton,Jonesboro 15,2872,257,689,259,8,1213,1213,
23,Clayton,Jonesboro 16,2560,317,561,341,3,1222,1222,
24,Clayton,Jonesboro 17,3359,316,804,509,9,1638,1638,
25,Clayton,Jonesboro 18,3301,341,949,439,6,1735,1735,
26,Clayton,Jonesboro 19,3299,305,907,506,11,1729,1729,
27,Clayton,Lake City,3217,280,843,385,9,1517,1517,
28,Clayton,Lovejoy 1,4061,344,1425,631,2,2402,2402,
29,Clayton,Lovejoy 2,3611,260,1142,484,8,1894,1894,
30,Clayton,Lovejoy 3,1666,126,634,376,3,1139,1139,
31,Clayton,Lovejoy 4,4149,304,1593,642,4,2543,2543,
32,Clayton,Lovejoy 5,3451,315,1047,501,13,1876,1876,
33,Clayton,Lovejoy 6,3708,293,1277,610,7,2187,2187,
34,Clayton,Lovejoy 7,2779,253,821,220,6,1300,1300,
35,Clayton,Morrow 1,3328,418,765,377,2,1562,1562,
36,Clayton,Morrow 2,2081,142,536,286,2,966,966,
37,Clayton,Morrow 3,2407,191,622,376,5,1194,1194,
38,Clayton,Morrow 4,2112,216,512,279,3,1010,1010,
39,Clayton,Morrow 5,3056,288,1106,579,2,1975,1975,
40,Clayton,Morrow 6,3030,326,961,443,6,1736,1736,
41,Clayton,Morrow 7,2142,279,476,244,7,1006,1006,
42,Clayton,Morrow 8,3185,282,1129,535,10,1956,1956,
43,Clayton,Morrow 9,1509,135,418,218,1,772,772,
44,Clayton,Morrow 10,2342,175,833,290,3,1301,1301,
45,Clayton,Morrow 11,2295,247,682,289,2,1220,1220,
46,Clayton,Oak 1,2635,334,741,281,3,1359,1359,
47,Clayton,Oak 2,1974,245,426,220,10,901,901,
48,Clayton,Oak 3,2731,326,683,372,5,1386,1386,
49,Clayton,Oak 4,4233,452,1137,475,8,2072,2072,
50,Clayton,Oak 5,1795,182,397,83,4,666,666,
51,Clayton,Panhandle 1,2895,252,1076,588,2,1918,1918,
52,Clayton,Panhandle 2,3382,314,1250,515,5,2084,2084,
53,Clayton,Riverdale 1,2330,180,847,435,9,1471,1471,
54,Clayton,Riverdale 2,3431,324,923,550,27,1824,1824,
55,Clayton,Riverdale 3,3650,348,1109,614,7,2078,2078,
56,Clayton,Riverdale 4,4362,451,1000,655,8,2114,2114,
57,Clayton,Riverdale 5,2970,323,828,436,9,1596,1596,
58,Clayton,Riverdale 6,3661,373,683,406,10,1472,1472,
59,Clayton,Riverdale 7,3020,322,548,341,13,1224,1224,
60,Clayton,Riverdale 8,2895,256,925,618,4,1803,1803,
61,Clayton,Riverdale 9,2653,285,738,392,7,1422,1422,
62,Clayton,Riverdale 10,3176,336,684,286,10,1316,1316,
63,Clayton,Riverdale 11,1881,173,623,312,1,1109,1109,
64,Clayton,Riverdale 12,3065,317,916,528,3,1764,1764,
