index,County,Precinct,Registered Voters,Mike Glanton (I) (Dem)_Election Day Votes,Mike Glanton (I) (Dem)_Advanced Voting Votes,Mike Glanton (I) (Dem)_Absentee by Mail Votes,Mike Glanton (I) (Dem)_Provisional Votes,Mike Glanton (I) (Dem)_Choice Total,Total,
0,Clayton,Jonesboro 1,3244,297,968,612,4,1881,1881,
1,Clayton,Jonesboro 3,4107,266,1191,748,2,2207,2207,
2,Clayton,Jonesboro 4,2574,238,548,283,4,1073,1073,
3,Clayton,Jonesboro 7,3174,296,961,507,6,1770,1770,
4,Clayton,Jonesboro 10,3398,353,700,417,3,1473,1473,
5,Clayton,Jonesboro 11,3863,196,747,527,0,1470,1470,
6,Clayton,Jonesboro 13,2140,251,689,371,3,1314,1314,
7,Clayton,Jonesboro 17,3359,318,805,510,6,1639,1639,
8,Clayton,Jonesboro 18,3301,342,955,442,5,1744,1744,
9,Clayton,Jonesboro 19,3299,307,907,515,8,1737,1737,
10,Clayton,Lovejoy 1,4061,301,1285,579,2,2167,2167,
11,Clayton,Lovejoy 5,3451,205,677,357,9,1248,1248,
12,Clayton,Morrow 4,2112,213,509,280,3,1005,1005,
13,Clayton,Morrow 7,2142,284,471,249,3,1007,1007,
