index,County,Precinct,Registered Voters,Jessie Goree (I) (Dem)_Election Day Votes,Jessie Goree (I) (Dem)_Advanced Voting Votes,Jessie Goree (I) (Dem)_Absentee by Mail Votes,Jessie Goree (I) (Dem)_Provisional Votes,Jessie Goree (I) (Dem)_Choice Total,Total,
0,Clayton,Jonesboro 2,4345,10,60,39,0,109,109,
1,Clayton,Oak 4,4233,148,354,168,1,671,671,
2,Clayton,Riverdale 1,2330,177,842,420,7,1446,1446,
3,Clayton,Riverdale 3,3650,345,1122,606,3,2076,2076,
4,Clayton,Riverdale 4,4362,309,645,461,2,1417,1417,
5,Clayton,Riverdale 7,3020,317,553,335,4,1209,1209,
6,Clayton,Riverdale 8,2895,252,914,604,4,1774,1774,
7,Clayton,Riverdale 9,2653,1,4,2,0,7,7,
8,Clayton,Riverdale 10,3176,11,42,18,0,71,71,
9,Clayton,Riverdale 11,1881,173,621,312,1,1107,1107,
10,Clayton,Riverdale 12,3065,307,909,525,2,1743,1743,
