index,County,Precinct,Registered Voters,Charles Brooks (I) (Dem)_Election Day Votes,Charles Brooks (I) (Dem)_Advanced Voting Votes,Charles Brooks (I) (Dem)_Absentee by Mail Votes,Charles Brooks (I) (Dem)_Provisional Votes,Charles Brooks (I) (Dem)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,229,1182,639,5,2055,2055,
1,Clayton,Ellenwood 2,3273,250,1312,583,4,2149,2149,
2,Clayton,Forest Park 1,3566,434,523,375,9,1341,1341,
3,Clayton,Forest Park 2,2821,315,563,379,10,1267,1267,
4,Clayton,Forest Park 3,2845,271,483,357,18,1129,1129,
5,Clayton,Forest Park 4,1783,190,392,198,0,780,780,
6,Clayton,Forest Park 5,3924,424,790,396,18,1628,1628,
7,Clayton,Forest Park 6,1463,134,350,147,2,633,633,
8,Clayton,Jonesboro 1,3244,299,966,596,6,1867,1867,
9,Clayton,Jonesboro 2,4345,388,1277,735,10,2410,2410,
10,Clayton,Jonesboro 3,4107,298,1257,801,8,2364,2364,
11,Clayton,Jonesboro 4,2574,229,540,273,5,1047,1047,
12,Clayton,Jonesboro 5,2064,263,553,322,0,1138,1138,
13,Clayton,Jonesboro 6,2574,154,671,555,3,1383,1383,
14,Clayton,Jonesboro 7,3174,293,951,513,6,1763,1763,
15,Clayton,Jonesboro 8,3947,442,1015,363,3,1823,1823,
16,Clayton,Jonesboro 9,1759,160,326,193,3,682,682,
17,Clayton,Jonesboro 10,3398,348,697,421,5,1471,1471,
18,Clayton,Jonesboro 11,3863,294,1214,731,2,2241,2241,
19,Clayton,Jonesboro 12,3067,320,851,416,13,1600,1600,
20,Clayton,Jonesboro 13,2140,248,679,367,4,1298,1298,
21,Clayton,Jonesboro 14,4116,289,1336,782,4,2411,2411,
22,Clayton,Jonesboro 15,2872,251,675,253,9,1188,1188,
23,Clayton,Jonesboro 16,2560,314,552,337,3,1206,1206,
24,Clayton,Jonesboro 17,3359,313,797,499,9,1618,1618,
25,Clayton,Jonesboro 18,3301,341,945,436,6,1728,1728,
26,Clayton,Jonesboro 19,3299,306,895,507,10,1718,1718,
27,Clayton,Lake City,3217,280,834,381,10,1505,1505,
28,Clayton,Lovejoy 1,4061,333,1404,627,2,2366,2366,
29,Clayton,Lovejoy 2,3611,256,1121,473,8,1858,1858,
30,Clayton,Lovejoy 3,1666,125,635,370,2,1132,1132,
31,Clayton,Lovejoy 4,4149,297,1575,626,4,2502,2502,
32,Clayton,Lovejoy 5,3451,309,1032,493,15,1849,1849,
33,Clayton,Lovejoy 6,3708,290,1259,608,7,2164,2164,
34,Clayton,Lovejoy 7,2779,252,819,218,5,1294,1294,
35,Clayton,Morrow 1,3328,420,761,368,2,1551,1551,
36,Clayton,Morrow 2,2081,141,525,278,3,947,947,
37,Clayton,Morrow 3,2407,189,617,375,5,1186,1186,
38,Clayton,Morrow 4,2112,206,505,274,3,988,988,
39,Clayton,Morrow 5,3056,284,1088,572,2,1946,1946,
40,Clayton,Morrow 6,3030,319,945,443,5,1712,1712,
41,Clayton,Morrow 7,2142,277,460,241,7,985,985,
42,Clayton,Morrow 8,3185,279,1126,536,10,1951,1951,
43,Clayton,Morrow 9,1509,134,407,221,1,763,763,
44,Clayton,Morrow 10,2342,169,821,287,3,1280,1280,
45,Clayton,Morrow 11,2295,245,682,291,2,1220,1220,
46,Clayton,Oak 1,2635,330,734,284,3,1351,1351,
47,Clayton,Oak 2,1974,234,421,221,10,886,886,
48,Clayton,Oak 3,2731,316,676,373,5,1370,1370,
49,Clayton,Oak 4,4233,448,1126,472,6,2052,2052,
50,Clayton,Oak 5,1795,184,394,85,5,668,668,
51,Clayton,Panhandle 1,2895,249,1066,590,2,1907,1907,
52,Clayton,Panhandle 2,3382,304,1233,513,4,2054,2054,
53,Clayton,Riverdale 1,2330,178,843,429,8,1458,1458,
54,Clayton,Riverdale 2,3431,322,914,539,24,1799,1799,
55,Clayton,Riverdale 3,3650,343,1106,600,6,2055,2055,
56,Clayton,Riverdale 4,4362,436,998,655,9,2098,2098,
57,Clayton,Riverdale 5,2970,320,826,428,10,1584,1584,
58,Clayton,Riverdale 6,3661,368,683,398,9,1458,1458,
59,Clayton,Riverdale 7,3020,311,549,332,12,1204,1204,
60,Clayton,Riverdale 8,2895,247,910,605,5,1767,1767,
61,Clayton,Riverdale 9,2653,282,734,383,6,1405,1405,
62,Clayton,Riverdale 10,3176,331,679,287,9,1306,1306,
63,Clayton,Riverdale 11,1881,171,625,307,1,1104,1104,
64,Clayton,Riverdale 12,3065,309,912,530,2,1753,1753,
