index,County,Precinct,Registered Voters,Sandra Givens Scott (I) (Dem)_Election Day Votes,Sandra Givens Scott (I) (Dem)_Advanced Voting Votes,Sandra Givens Scott (I) (Dem)_Absentee by Mail Votes,Sandra Givens Scott (I) (Dem)_Provisional Votes,Sandra Givens Scott (I) (Dem)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,230,1174,655,4,2063,2063,
1,Clayton,Ellenwood 2,3273,256,1321,593,4,2174,2174,
2,Clayton,Lake City,3217,121,425,260,2,808,808,
3,Clayton,Morrow 1,3328,416,768,363,0,1547,1547,
4,Clayton,Morrow 3,2407,192,627,373,1,1193,1193,
5,Clayton,Morrow 5,3056,285,1104,593,3,1985,1985,
6,Clayton,Morrow 6,3030,323,944,445,4,1716,1716,
7,Clayton,Morrow 8,3185,281,1115,544,9,1949,1949,
8,Clayton,Morrow 10,2342,173,823,281,2,1279,1279,
9,Clayton,Morrow 11,2295,246,683,290,0,1219,1219,
