index,County,Precinct,Registered Voters,Sabrina Hill (Dem)_Election Day Votes,Sabrina Hill (Dem)_Advanced Voting Votes,Sabrina Hill (Dem)_Absentee by Mail Votes,Sabrina Hill (Dem)_Provisional Votes,Sabrina Hill (Dem)_Choice Total,Total,
0,Clayton,Forest Park 3,2845,224,397,306,1,928,928,
1,Clayton,Forest Park 4,1783,196,398,196,0,790,790,
2,Clayton,Forest Park 5,3924,426,803,398,11,1638,1638,
3,Clayton,Forest Park 6,1463,128,358,149,0,635,635,
4,Clayton,Jonesboro 15,2872,252,684,257,3,1196,1196,
5,Clayton,Morrow 2,2081,45,151,72,0,268,268,
6,Clayton,Riverdale 6,3661,375,689,400,8,1472,1472,
