index,County,Precinct,Registered Voters,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_Choice Total,Total,
0,Clayton,Forest Park 1,3566,427,527,387,6,1347,1347,
1,Clayton,Forest Park 2,2821,328,577,383,8,1296,1296,
2,Clayton,Oak 1,2635,333,743,290,3,1369,1369,
3,Clayton,Oak 2,1974,242,428,230,9,909,909,
