index,County,Precinct,Registered Voters,Felicia Franklin Warner (I) (Dem)_Election Day Votes,Felicia Franklin Warner (I) (Dem)_Advanced Voting Votes,Felicia Franklin Warner (I) (Dem)_Absentee by Mail Votes,Felicia Franklin Warner (I) (Dem)_Provisional Votes,Felicia Franklin Warner (I) (Dem)_Choice Total,Total,
0,Clayton,Jonesboro 1,3244,291,960,602,4,1857,1857,
1,Clayton,Jonesboro 2,4345,381,1269,740,10,2400,2400,
2,Clayton,Jonesboro 3,4107,221,1016,629,2,1868,1868,
3,Clayton,Jonesboro 10,3398,90,147,98,1,336,336,
4,Clayton,Jonesboro 12,3067,318,845,417,11,1591,1591,
5,Clayton,Jonesboro 13,2140,246,665,366,3,1280,1280,
6,Clayton,Jonesboro 17,3359,313,787,499,6,1605,1605,
7,Clayton,Jonesboro 19,3299,302,889,512,7,1710,1710,
8,Clayton,Lovejoy 1,4061,298,1270,575,2,2145,2145,
9,Clayton,Lovejoy 2,3611,231,1011,425,2,1669,1669,
10,Clayton,Lovejoy 3,1666,115,602,317,0,1034,1034,
11,Clayton,Lovejoy 4,4149,292,1574,629,3,2498,2498,
12,Clayton,Lovejoy 5,3451,312,1025,498,12,1847,1847,
13,Clayton,Lovejoy 6,3708,286,1240,516,3,2045,2045,
14,Clayton,Lovejoy 7,2779,36,99,5,0,140,140,
15,Clayton,Panhandle 1,2895,241,1056,577,2,1876,1876,
16,Clayton,Panhandle 2,3382,304,1218,518,4,2044,2044,
17,Clayton,Riverdale 2,3431,142,439,290,8,879,879,
