index,County,Precinct,Registered Voters,Mary L. Baker (I) (Dem)_Election Day Votes,Mary L. Baker (I) (Dem)_Advanced Voting Votes,Mary L. Baker (I) (Dem)_Absentee by Mail Votes,Mary L. Baker (I) (Dem)_Provisional Votes,Mary L. Baker (I) (Dem)_Choice Total,Total,
0,Clayton,Jonesboro 3,4107,252,1083,663,3,2001,2001,
1,Clayton,Jonesboro 5,2064,232,521,295,0,1048,1048,
2,Clayton,Jonesboro 6,2574,165,701,570,3,1439,1439,
3,Clayton,Jonesboro 10,3398,98,155,109,1,363,363,
4,Clayton,Jonesboro 11,3863,107,512,246,1,866,866,
5,Clayton,Jonesboro 13,2140,252,688,366,3,1309,1309,
6,Clayton,Jonesboro 14,4116,296,1354,804,2,2456,2456,
7,Clayton,Jonesboro 17,3359,265,668,375,0,1308,1308,
8,Clayton,Jonesboro 19,3299,7,22,25,0,54,54,
9,Clayton,Lovejoy 1,4061,342,1413,629,2,2386,2386,
