index,County,Precinct,Registered Voters,Mark Anthony Christmas (I) (Dem)_Election Day Votes,Mark Anthony Christmas (I) (Dem)_Advanced Voting Votes,Mark Anthony Christmas (I) (Dem)_Absentee by Mail Votes,Mark Anthony Christmas (I) (Dem)_Provisional Votes,Mark Anthony Christmas (I) (Dem)_Choice Total,Total,
0,Clayton,Jonesboro 1,3244,294,961,597,4,1856,1856,
1,Clayton,Jonesboro 2,4345,381,1212,698,6,2297,2297,
2,Clayton,Jonesboro 12,3067,318,851,419,11,1599,1599,
3,Clayton,Jonesboro 16,2560,311,544,340,3,1198,1198,
4,Clayton,Jonesboro 17,3359,55,134,130,1,320,320,
5,Clayton,Jonesboro 19,3299,297,871,486,6,1660,1660,
6,Clayton,Riverdale 2,3431,310,913,544,22,1789,1789,
7,Clayton,Riverdale 9,2653,210,530,304,3,1047,1047,
