index,County,Precinct,Registered Voters,"Deatrice """"Dee"""" Haney (Dem)_Election Day Votes","Deatrice """"Dee"""" Haney (Dem)_Advanced Voting Votes","Deatrice """"Dee"""" Haney (Dem)_Absentee by Mail Votes","Deatrice """"Dee"""" Haney (Dem)_Provisional Votes","Deatrice """"Dee"""" Haney (Dem)_Choice Total",Total,
0,Clayton,Jonesboro 3,4107,51,180,141,2,374,374,
1,Clayton,Jonesboro 4,2574,235,545,278,4,1062,1062,
2,Clayton,Jonesboro 5,2064,32,43,29,0,104,104,
3,Clayton,Jonesboro 7,3174,291,952,509,5,1757,1757,
4,Clayton,Jonesboro 9,1759,160,330,194,1,685,685,
5,Clayton,Jonesboro 10,3398,255,551,314,1,1121,1121,
6,Clayton,Jonesboro 11,3863,188,691,496,0,1375,1375,
7,Clayton,Jonesboro 18,3301,340,944,435,5,1724,1724,
8,Clayton,Riverdale 4,4362,135,353,196,4,688,688,
9,Clayton,Riverdale 5,2970,315,830,430,5,1580,1580,
10,Clayton,Riverdale 9,2653,69,191,80,1,341,341,
