index,County,Precinct,Registered Voters,Jacquline D. Wills (I) (Dem)_Election Day Votes,Jacquline D. Wills (I) (Dem)_Advanced Voting Votes,Jacquline D. Wills (I) (Dem)_Absentee by Mail Votes,Jacquline D. Wills (I) (Dem)_Provisional Votes,Jacquline D. Wills (I) (Dem)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,235,1184,645,5,2069,2069,
1,Clayton,Ellenwood 2,3273,256,1327,591,3,2177,2177,
2,Clayton,Forest Park 1,3566,429,528,391,8,1356,1356,
3,Clayton,Forest Park 2,2821,326,575,386,10,1297,1297,
4,Clayton,Forest Park 3,2845,278,491,366,17,1152,1152,
5,Clayton,Forest Park 4,1783,198,402,201,0,801,801,
6,Clayton,Forest Park 5,3924,439,789,399,18,1645,1645,
7,Clayton,Forest Park 6,1463,130,367,153,3,653,653,
8,Clayton,Jonesboro 1,3244,298,973,604,6,1881,1881,
9,Clayton,Jonesboro 2,4345,390,1284,747,9,2430,2430,
10,Clayton,Jonesboro 3,4107,302,1273,808,8,2391,2391,
11,Clayton,Jonesboro 4,2574,230,547,274,5,1056,1056,
12,Clayton,Jonesboro 5,2064,268,569,324,0,1161,1161,
13,Clayton,Jonesboro 6,2574,165,697,569,3,1434,1434,
14,Clayton,Jonesboro 7,3174,294,960,516,6,1776,1776,
15,Clayton,Jonesboro 8,3947,443,1033,371,4,1851,1851,
16,Clayton,Jonesboro 9,1759,163,335,199,3,700,700,
17,Clayton,Jonesboro 10,3398,353,705,418,5,1481,1481,
18,Clayton,Jonesboro 11,3863,301,1220,763,3,2287,2287,
19,Clayton,Jonesboro 12,3067,326,860,424,14,1624,1624,
20,Clayton,Jonesboro 13,2140,256,691,376,4,1327,1327,
21,Clayton,Jonesboro 14,4116,299,1353,803,4,2459,2459,
22,Clayton,Jonesboro 15,2872,254,691,264,9,1218,1218,
23,Clayton,Jonesboro 16,2560,317,559,342,3,1221,1221,
24,Clayton,Jonesboro 17,3359,315,801,506,8,1630,1630,
25,Clayton,Jonesboro 18,3301,339,954,441,6,1740,1740,
26,Clayton,Jonesboro 19,3299,304,912,516,11,1743,1743,
27,Clayton,Lake City,3217,282,842,379,10,1513,1513,
28,Clayton,Lovejoy 1,4061,345,1423,634,2,2404,2404,
29,Clayton,Lovejoy 2,3611,260,1141,484,8,1893,1893,
30,Clayton,Lovejoy 3,1666,127,635,380,3,1145,1145,
31,Clayton,Lovejoy 4,4149,303,1595,632,4,2534,2534,
32,Clayton,Lovejoy 5,3451,316,1048,498,15,1877,1877,
33,Clayton,Lovejoy 6,3708,293,1276,609,7,2185,2185,
34,Clayton,Lovejoy 7,2779,253,827,223,6,1309,1309,
35,Clayton,Morrow 1,3328,416,767,371,2,1556,1556,
36,Clayton,Morrow 2,2081,139,535,278,3,955,955,
37,Clayton,Morrow 3,2407,193,632,381,5,1211,1211,
38,Clayton,Morrow 4,2112,216,510,280,3,1009,1009,
39,Clayton,Morrow 5,3056,287,1101,584,2,1974,1974,
40,Clayton,Morrow 6,3030,321,959,449,5,1734,1734,
41,Clayton,Morrow 7,2142,282,472,250,6,1010,1010,
42,Clayton,Morrow 8,3185,282,1134,546,10,1972,1972,
43,Clayton,Morrow 9,1509,133,417,224,1,775,775,
44,Clayton,Morrow 10,2342,176,836,288,3,1303,1303,
45,Clayton,Morrow 11,2295,247,685,290,2,1224,1224,
46,Clayton,Oak 1,2635,335,742,283,3,1363,1363,
47,Clayton,Oak 2,1974,243,423,217,9,892,892,
48,Clayton,Oak 3,2731,323,685,381,5,1394,1394,
49,Clayton,Oak 4,4233,453,1134,481,7,2075,2075,
50,Clayton,Oak 5,1795,182,398,85,5,670,670,
51,Clayton,Panhandle 1,2895,251,1083,593,2,1929,1929,
52,Clayton,Panhandle 2,3382,314,1243,516,4,2077,2077,
53,Clayton,Riverdale 1,2330,182,850,434,8,1474,1474,
54,Clayton,Riverdale 2,3431,325,920,548,27,1820,1820,
55,Clayton,Riverdale 3,3650,345,1112,617,7,2081,2081,
56,Clayton,Riverdale 4,4362,448,995,662,10,2115,2115,
57,Clayton,Riverdale 5,2970,324,836,441,10,1611,1611,
58,Clayton,Riverdale 6,3661,373,691,403,9,1476,1476,
59,Clayton,Riverdale 7,3020,319,548,336,14,1217,1217,
60,Clayton,Riverdale 8,2895,255,920,613,5,1793,1793,
61,Clayton,Riverdale 9,2653,287,745,386,7,1425,1425,
62,Clayton,Riverdale 10,3176,333,684,293,8,1318,1318,
63,Clayton,Riverdale 11,1881,175,626,317,1,1119,1119,
64,Clayton,Riverdale 12,3065,316,922,534,2,1774,1774,
