index,County,Precinct,Registered Voters,Yasmin Neal (Dem)_Election Day Votes,Yasmin Neal (Dem)_Advanced Voting Votes,Yasmin Neal (Dem)_Absentee by Mail Votes,Yasmin Neal (Dem)_Provisional Votes,Yasmin Neal (Dem)_Choice Total,Total,
0,Clayton,Forest Park 3,2845,278,490,376,18,1162,1162,
1,Clayton,Forest Park 4,1783,194,399,199,0,792,792,
2,Clayton,Forest Park 5,3924,435,798,402,10,1645,1645,
3,Clayton,Forest Park 6,1463,131,359,152,3,645,645,
4,Clayton,Lake City,3217,161,415,126,2,704,704,
5,Clayton,Morrow 2,2081,144,533,276,2,955,955,
6,Clayton,Oak 3,2731,328,683,384,4,1399,1399,
7,Clayton,Oak 4,4233,454,1133,496,5,2088,2088,
8,Clayton,Oak 5,1795,180,403,86,6,675,675,
9,Clayton,Riverdale 1,2330,182,846,434,6,1468,1468,
10,Clayton,Riverdale 3,3650,347,1119,613,4,2083,2083,
11,Clayton,Riverdale 8,2895,257,918,617,5,1797,1797,
12,Clayton,Riverdale 10,3176,339,687,299,8,1333,1333,
13,Clayton,Riverdale 11,1881,174,626,318,1,1119,1119,
