index,County,Precinct,Registered Voters,Dale Washburn (I) (Rep)_Election Day Votes,Dale Washburn (I) (Rep)_Advanced Voting Votes,Dale Washburn (I) (Rep)_Absentee by Mail Votes,Dale Washburn (I) (Rep)_Provisional Votes,Dale Washburn (I) (Rep)_Choice Total,Total,
0,Bibb,Hazzard 2,4173,705,885,395,2,1987,1987,
1,Bibb,Hazzard 4,4745,728,1537,612,4,2881,2881,
2,Bibb,Howard 1,3436,458,1098,635,1,2192,2192,
3,Bibb,Howard 2,3394,489,1115,565,4,2173,2173,
4,Bibb,Howard 3,6397,782,1916,849,1,3548,3548,
5,Bibb,Howard 5,2272,317,513,169,1,1000,1000,
6,Bibb,Howard 6,2213,280,674,267,8,1229,1229,
7,Bibb,Howard 7,2897,454,937,435,1,1827,1827,
8,Bibb,Vineville 4,4097,210,283,115,1,609,609,
