index,County,Precinct,Registered Voters,James Beverly (I) (Dem)_Election Day Votes,James Beverly (I) (Dem)_Advanced Voting Votes,James Beverly (I) (Dem)_Absentee by Mail Votes,James Beverly (I) (Dem)_Provisional Votes,James Beverly (I) (Dem)_Choice Total,Total,
0,Bibb,East Macon 1,2108,238,362,334,5,939,939,
1,Bibb,East Macon 2,3932,456,1014,749,7,2226,2226,
2,Bibb,East Macon 3,3494,352,825,568,5,1750,1750,
3,Bibb,East Macon 4,2280,359,505,458,4,1326,1326,
4,Bibb,East Macon 5,2552,304,642,479,1,1426,1426,
5,Bibb,Godfrey 1,6283,316,870,537,2,1725,1725,
6,Bibb,Godfrey 2,2158,221,348,263,1,833,833,
7,Bibb,Godfrey 4,2231,252,347,272,2,873,873,
8,Bibb,Howard 4,1711,197,479,244,1,921,921,
9,Bibb,Vineville 1,3572,361,850,557,1,1769,1769,
10,Bibb,Vineville 2,2067,245,419,376,0,1040,1040,
11,Bibb,Vineville 5,2359,262,643,353,2,1260,1260,
12,Bibb,Vineville 6,3021,374,720,496,1,1591,1591,
